frame,numero_pers,distance_x,distance_y,distance_z
23,12,-383.4084,-111.94796,0
23,13,-722.98175,-1214.7803,0
24,0,-13.676663999999999,181.785685,0
24,1,352.368405,-113.34782799999999,0
24,2,-100.96239750000001,-289.513785,0
24,3,126.21039999999999,-1203.88125,0
24,4,325.452635,-1124.8033,0
24,5,194.563065,-1163.6028999999999,0
24,6,261.4679,-1207.9810499999999,0
24,7,-160.11319,-1166.3024500000001,0
24,8,-691.58178,-1504.8299000000002,0
24,9,-232.93547,-1149.8527,0
24,10,-309.32495,-1176.94195,0
24,11,-414.631135,-994.3045999999999,0
24,12,-383.4438,-112.02825,0
24,13,-723.0482,-1214.8307,0
25,0,-13.696018,181.63785000000001,0
25,1,352.34263999999996,-113.247805,0
25,2,-100.79294999999999,-289.410555,0
25,3,126.20179,-1204.0408499999999,0
25,4,325.39877,-1123.35945,0
25,5,194.81867499999998,-1163.9577,0
25,6,261.4921,-1208.5677500000002,0
25,7,-160.03726,-1166.8011999999999,0
25,8,-691.3723500000001,-1504.8566,0
25,9,-232.89068,-1149.8688499999998,0
25,10,-309.332915,-1177.1664500000002,0
25,11,-415.53102,-1004.9882,0
25,12,-383.32047,-111.838326,0
25,13,-715.62396,-1213.94085,0
26,0,-14.318217500000001,179.61336999999997,0
26,1,352.255495,-113.22610499999999,0
26,2,-100.8485575,-289.60663,0
26,3,126.428535,-1204.0283,0
26,4,325.54298,-1123.11645,0
26,5,194.24455999999998,-1164.4666499999998,0
26,6,261.427115,-1208.8742499999998,0
26,7,-160.066915,-1167.7370500000002,0
26,8,-691.41075,-1504.8897499999998,0
26,9,-232.935405,-1149.8604,0
26,10,-331.524775,-1176.8117,0
26,11,-412.71372499999995,-976.17575,0
26,12,-383.29004,-111.82416,0
26,13,-707.627925,-1214.915,0
27,0,-14.377365000000001,178.81357500000001,0
27,1,352.340715,-113.0917025,0
27,2,-101.43952949999999,-289.35130499999997,0
27,3,126.427685,-1204.2548499999998,0
27,4,325.43084999999996,-1122.9917500000001,0
